NombreES,NombreEN,Precio,DescripcionMenuES,DescripcionMenuEN,TipoES,TipoEN,SubTipoES,SubTipoEN,DietaES,DietaEN,CuidadoES,CuidadoEN,Estado,Foto,Receta,_id,GRUPO,PRINT,SUB_GRUPO,Order,Comp_Lunch
Jugo de Naranja,Orange Juce,9200,Recién exprimido,"Flesh squeezed ",,,,,,,,,Activo,,130fffe0-a93c-406a-b13a-01f5942383ca,46095652-70b7-4f61-862b-a48b94ae89f3,BEBIDAS,true,BEBIDAS_FRIAS,,
Americano frío,Iced americano,6000,Base de espresso más agua y hielo,Espresso base plus water and ice,Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=129dEVlWMuaJ-xQbvl8vFmGqnQUKjbWD6&sz=w1000-h1000,6decaecd-16eb-413f-a3bb-6630838581b0,47a84533-92a4-4627-87eb-4b6f396f76e9,CAFE,,,,
Espresso,Espresso,5500,Bebida base con gran concentración de café,Base drink with a high concentration of coffee,Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=1342eqjZjKk7TIzOzS63WUu37Ukb4fBGz&sz=w1000-h1000,296b20c8-d5c4-45e8-81b6-f795fd9b3bdb,481d6823-29ea-4a98-bb02-89e7b3feac97,CAFE,true,CAFE_ESPRESSO,1,
Adición Hogao,Add Hogao,3000,,,Adición,Sides,,,,,,,Activo,,74dc2d14-84bf-493d-9565-7e41967973e1,4cc2a3e9-4c26-4bdf-b2b7-3f83efd609fc,ADICIONES,true,ADICIONES_COMIDAS,,
Brioche 45g,Brioche 45g,2000,,,,,,,,,,,Activo,,,4ff3738c-6429-45d6-8c8e-3b67f8766e36,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Tostadas serrano,Serrano toast,20000,"Base de brioche tostado en caramelo,  jamón serrano, queso holandés y cebolla caramelizada","Toasted caramelized brioche bread base, serrano ham,  dutch cheese, and caramelized onion",Sanduches,Sandwitch,Salado,Salty,Carnico,Meat,NA,NA,Inactivo,,,514f7b89-00e8-41e7-bff7-506fef8cdc9a,TARDEO,,,,
Pie de manzana,Apple pie,16000,"El mejor pie de manzana verde de Medellín, con helado de vainilla","The best green apple pie of Medellín, with vanilla ice cream",Postres,Deserts,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,"https://drive.google.com/thumbnail?id=1Az6kUgHQb4qMKXnPBBSDYqVCBB1kzrPt&sz=w1000-h1000
",aa307c3d-74f4-46c6-8707-637b3b9ac587,516125e1-a24e-43f1-bfe1-d789bdfda492,REPOSTERIA,,,,
Pan de chocolate,Chocolate bread,6000," Portion of brioche bread filled with dark chocolate",Porcion de pan brioche relleno de chocolate oscuro,Panes,Breads,,,,,,,Inactivo,https://drive.google.com/thumbnail?id=13G2G_6bTpCGvLoNE4ALma0t8CjZ9uTFN&sz=w1000-h1000,73ae57ca-2dc4-4fd2-9058-c47cfde8ef58,5206cdd7-47b0-4d8d-b516-aa47685f28cd,REPOSTERIA,,,,
Pancakes frutos rojos,Red berries pancakes,20000,"Esponjosos pancakes rellenos con frutos rojos, servidos con salsa de mantequilla y sirope.","Fluffy pancakes filled with red berries, served with butter sauce and syrup.",Desayuno,Breackfast,Salado,Salty,NA,NA,,NA,Activo,,c126eba2-7e86-43ac-aaa8-9046e727d01e,5325405e-0589-421c-bfe7-0194e71d655d,DESAYUNO,true,DESAYUNO_DULCE,,
CERDO_CAZUELA DE FRIJOLES VERDES,,,,,,,,,,,,,Activo,,,53416997-32d1-4daf-9379-e21c2dafeece,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""sábado"",
    ""fecha"": ""2025-08-23""
  },
  ""entrada"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""proteina"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""proteina_opcion_2"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""carbohidrato"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""ensalada"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": """",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Leandra"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Leandra"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Leandra"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Liliana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": ""Sin Arroz""
    },
    {
      ""order"": 7,
      ""nombre"": ""Federico"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""P.Seco"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""P.Seco"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""Yolanda"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""Madre E Hijo"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""Madre E Hijo"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""Antonina"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""GGH 1"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 15,
      ""nombre"": ""GGH 2"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 16,
      ""nombre"": ""Raul"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Refrigerio Institucional,,25800,,,,,,,,,,,Inactivo,,,53b53ac0-b31b-46e2-b5b1-4be1872c3cff,TARDEO,,,,
Croisant Jamon y Queso,Croisant Ham and Cheese,12500,,,,,,,,,,,Activo,,d33bb9fd-eccb-41bd-bcde-c1c6a3ea5c5a,59af62cd-9011-4c1c-b4bd-a966c1a584ba,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Cold brew té verde,Green tea cold brew,12500,"Infusión de café molido a temperatura ambiente, servido con té verde y hielo","Room temperature steeped coffee, served with green tea and ice",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=171FJablEMuRbM_yqlnipX6tfHC8kFYPh&sz=w1000-h1000,45d9df11-afb2-4e35-8c38-55b978535183,5c3736db-f757-4f50-893d-b8915f84f027,CAFE,,CAFE_METODOS,,
Adición de Vainilla,Add Vanilla,2000,,,,,,,,,,,Activo,,,5d4396f0-2768-4080-a5a3-309a2e12ae73,ADICIONES,true,ADICIONES_BEBIDAS,,
Tostadas francesas,French toasts,22000,"Pan de masa madre bañado en leche, caramelo y especias, con crema de queso y frutas","Sourdough bread soaked in milk, caramel, and spices, with cream cheese and fruits",Desayuno,Breackfast,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,https://iili.io/KF2uFqP.webp,,61116301-6ab8-4092-a4f8-db91adb1bd05,DESAYUNO,true,DESAYUNO_DULCE,,
Té de clitoria agustina,Clitoria agustina tea,7000,"Té caliente mágico que cambia de color ",Hot magical color-changing tea,Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Inactivo,https://drive.google.com/thumbnail?id=1ExRgpW_DmxT6nfjY7Gb_i1Bl9NmqOQNB&sz=w1000-h1000,,61c88574-81ec-4c26-9fcd-235f2019f6a6,BEBIDAS,,,,
Carne Desmechada,,22000,,,,,,,,,,,Activo,,,64e8e9c7-cf44-4dca-936f-ae1fb719b6d4,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""viernes"",
    ""fecha"": ""2025-09-05""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de Lentejas"",
    ""descripcion"": ""Sopa tradicional y nutritiva de lentejas, llena de sabor.""
  },
  ""proteina"": {
    ""nombre"": ""Carne desmechada"",
    ""descripcion"": ""Jugosa y tierna carne de res desmechada, sazonada a la perfección.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz blanco"",
    ""descripcion"": ""El acompañante perfecto, arroz blanco suelto y bien cocido.""
  },
  ""acompanante"": {
    ""nombre"": ""Maduro con queso"",
    ""descripcion"": ""Dulce plátano maduro horneado con queso derretido.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada fresca"",
    ""descripcion"": ""Una mezcla de vegetales frescos para equilibrar tu plato.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas"",
    ""descripcion"": ""Bebida refrescante preparada con frutas frescas de temporada.""
  }
}"
RES_ALBONDIGAS CRISPY RELLENAS DE QUESO.,,22000,,,,,,,,,,,Activo,,,664098e1-4ff5-4ca3-9428-d6b726b85e70,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""viernes"",
    ""fecha"": ""2025-08-29""
  },
  ""entrada"": {
    ""nombre"": ""Sopa minestrone"",
    ""descripcion"": ""Clásica sopa italiana con variedad de vegetales frescos.""
  },
  ""proteina"": {
    ""nombre"": ""Albóndigas crispy rellenas de queso"",
    ""descripcion"": """"
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz blanco"",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Puré de plátano maduro"",
    ""descripcion"": """"
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada con mango y mix de verduras"",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas"",
    ""descripcion"": """"
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Gloria"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Tatinana"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Andres"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Pollo seco 1 "",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Pollo seco 2"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Pollo seco 3"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 7,
      ""nombre"": ""Lialiana 1"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 8,
      ""nombre"": ""Lialiana 2"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 9,
      ""nombre"": ""Vanessa 1"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 10,
      ""nombre"": ""Vanessa 2"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 11,
      ""nombre"": ""Marleny 1 "",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 12,
      ""nombre"": ""Marleny 2 "",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 13,
      ""nombre"": ""Sin Lechuga"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 14,
      ""nombre"": ""Joven"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 15,
      ""nombre"": ""Señor"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 16,
      ""nombre"": ""Rusa"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 17,
      ""nombre"": ""Posada"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 18,
      ""nombre"": ""Posada"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 19,
      ""nombre"": ""Evyatar"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 20,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": false,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ],
  ""proteina_opcion_2"": {
    ""nombre"": ""Pollo a la Plancha"",
    ""descripcion"": ""Pechuga""
  }
}"
Sánduche capresse,Capresse sandwich,20000,"Tomate fresco, pesto, queso mozzarella de búfala y parmessano, acompañado de nachos","Fresh tomato, pesto, buffalo burrata ,  and parmesan, served with nachos",Sanduches,Sandwitch,Salado,Salty,Carnico,Meat,NA,NA,Activo,,,677fe3f2-1041-444c-87cf-561f2f53a49a,TARDEO,,,,
Adicion Michelado,Add Michelado,3000,,,,,,,,,,,Activo,,,67fee953-f7bd-4a79-bb08-3269c18889eb,ADICIONES,true,ADICIONES_BEBIDAS,,
Té verde limón & miel,"Green tea, lemon & honey ",6000,"Té verde en agua, con un chorrito de limón y miel","Green tea in water, with a bit of lemon and honey",Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=158AQt6SuIuycPbJAqDi7FI5qbOuqE40Z&sz=w1000-h1000,4b651cd2-dff0-4cf9-aec4-de4f8d64dbc0,6cb22f56-357b-477e-9486-8827fafe60ed,BEBIDAS,,,,
Soda naranja & panela,Orange & panela soda,7000,Soda con jarabe de naranja y panela,Soda with orange and panela syrup,Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=14MWV9fGeLvAAVhkV9dYfcwt0_Kbw8emm&sz=w1000-h1000,1b64755d-79b4-4166-ac6d-a61a9fd7772d,6dc204f5-e399-4d54-9a1c-0d88a11c65b4,BEBIDAS,,,,
Arepa chocolo doble queso,Doble Cheese Chocolo Arepa,12000,,,,,,,,,,,Activo,,,76306b74-7491-406d-bc7a-7d6672a440f1,ADICIONES,true,ADICIONES_COMIDAS,,
Latte en hielo de espresso,Ice espresso latte,8500,Hielo de espresso y leche espumosa,Espresso ice and foaming milk,Café,Coffee,,,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13ix9vBSZNWqID9N0SkqwAJ1WVdtJF-qT&sz=w1000-h1000,af19c51e-daeb-49de-b71b-14f693e32126,7a34d638-a931-4f55-ac74-f03689302a56,CAFE,,,,
CERDO_CAÑON DE CERDO RELLENO,,22000,,,,,,,,,,,Activo,,40e05b6b-f0bf-42af-82df-9e4cb99fce33,7be9649f-8912-43f3-a2c5-965ab84d521f,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""martes"",
    ""fecha"": ""2025-08-19""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de Cebolla Francesa"",
    ""descripcion"": ""Cebolla blanca camerlizada con caldo de carne""
  },
  ""proteina"": {
    ""nombre"": ""Cañon relleno de frutos."",
    ""descripcion"": ""Frutos secos , manzana y especias""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con Arveja"",
    ""descripcion"": """"
  },
  ""acompanante"": {
    ""nombre"": ""Pure de papa"",
    ""descripcion"": ""Con romero y tomillo""
  },
  ""ensalada"": {
    ""nombre"": ""Vinagreta de naranja y mostaza"",
    ""descripcion"": """"
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas"",
    ""descripcion"": """"
  },
  ""Opción 2"": {
    ""nombre"": ""Pollo a la plancha"",
    ""descripcion"": ""Pechuga""
  },
  ""lista"": [
    {
      ""order"": 1,
      ""nombre"": ""Omaira"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 2,
      ""nombre"": ""Lucia"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 3,
      ""nombre"": ""Amazon 1"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 4,
      ""nombre"": ""Amazon 2"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 5,
      ""nombre"": ""Tatiana"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    },
    {
      ""order"": 6,
      ""nombre"": ""Portero Lotto"",
      ""option"": 1,
      ""pagado"": true,
      ""donde"": ""acá"",
      ""notas"": """"
    }
  ]
}"
Calentao,Calentao,20000,"Plato tradicional paisa con fríjoles, arroz blanco, maduritos picados y huevo frito","Traditional Paisa dish with beans, rice, diced ripe plantains, and fried egg",Desayuno,Breackfast,Salado,Salty,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=12KbuVn1mmYabMi4gZYkbx1Zx2IuePGqx&sz=w1000-h1000,9b99834b-60d5-457c-9d9f-14e548262f87,7daac8c0-9850-4fa0-8b78-1119073f752d,DESAYUNO,true,DESAYUNO_SALADO,,
Rollo de canela,Cinnamon roll,7000,"Pan dulce relleno de canela, glaseado con azúcar y canela","Sweet bread filled with cinnamon, glazed with sugar and cinnamon",Postres,Deserts,Dulce,Sweet,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=14vp7k3GN0Ja4TEGy_wlfXUIHRxznYABB&sz=w1000-h1000,,7e2f513a-aa00-4f58-8705-273d3b728a90,PANADERIA,true,PANADERIA_REPOSTERIA_DULCE,,
Pollo Bechamel con Brócoli,,22000,,,,,,,,,,,Activo,,,7eb29cd8-ef0b-4cfd-8a08-74bc9fdb3868,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""domingo"",
    ""fecha"": ""2025-09-07""
  },
  ""entrada"": {
    ""nombre"": ""Sopa de calabacín"",
    ""descripcion"": ""Una crema suave y reconfortante de calabacín fresco, ideal para iniciar.""
  },
  ""proteina"": {
    ""nombre"": ""Pollo bechamel con brócoli"",
    ""descripcion"": ""Trozos de pechuga de pollo jugosos en una cremosa salsa bechamel con brócoli.""
  },
  ""carbohidrato"": {
    ""nombre"": ""Arroz con zanahoria"",
    ""descripcion"": ""Arroz blanco suelto con un toque de color y dulzura de la zanahoria.""
  },
  ""acompanante"": {
    ""nombre"": ""Papa criolla frita"",
    ""descripcion"": ""Pequeñas papas criollas doradas y crujientes por fuera, suaves por dentro.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada fresca"",
    ""descripcion"": ""Una mezcla de vegetales frescos y aderezo de la casa.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de frutas"",
    ""descripcion"": ""Refrescante jugo natural elaborado con una selección de frutas frescas.""
  }
}"
V60,V60,7000,"Taza limpia, cuerpo balanceado y acidéz pronunciada","Light cup, balanced body and pronounced acidity",Café,Coffee,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=16ga-U3tWUT2dlKQUq3GTGHdDg9mlOnut&sz=w1000-h1000,a9309ddc-c3ac-46c1-bb28-78995220ef0a,7f1451be-3750-4659-8c72-831d4114a7da,CAFE,true,CAFE_METODOS,,
"Pilsen, águila & poker","Pilsen, águila & poker",5000,Cervezas,Beers,Bebidas,Drinks,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=14Bu4LSSlVKW5lr_HbdEjkrJJ8udkXISA&sz=w1000-h1000,09d85a75-bf25-4c21-a556-9b392f433a7d,81c86670-2865-43d4-90d8-531dd07b656e,ENLATADOS,true,,,
Huevos revueltos pericos,Scrambled eggs pericos,19000,Huevos revueltos con cebolla y tomate Acompañados de arepa blanca con quesito,"Scrambled eggs with onion and tomato, side of white arepa with cheese",Desayuno,Breackfast,Salado,Salty,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=14BNxp-LhToaEoeSJoZoSKkUSwMJq9JK-&sz=w1000-h1000,1b50551d-4cdd-4f59-afcb-4e2644742a9c,81f0ece1-869a-4daa-8048-68876f8c7a56,DESAYUNO,true,DESAYUNO_SALADO,,
Pepino Relleno,,22000,,,,,,,,,,,Activo,,,848932b9-060f-4063-99bb-8eac9292686a,TARDEO,false,TARDEO_ALMUERZO,,"{
  ""fecha"": {
    ""dia"": ""jueves"",
    ""fecha"": ""2025-09-25""
  },
  ""entrada"": {
    ""nombre"": ""Crema Ahuyamín"",
    ""descripcion"": ""Una suave y reconfortante crema de ahuyama casera.""
  },
  ""proteina"": {
    ""nombre"": ""Pepino Relleno"",
    ""descripcion"": ""Pepino fresco relleno de una sabrosa mezcla, una opción ligera y deliciosa.""
  },
  ""acompanante"": {
    ""nombre"": ""Chips Plátano Verde"",
    ""descripcion"": ""Láminas de plátano verde crujientes, el snack perfecto.""
  },
  ""ensalada"": {
    ""nombre"": ""Ensalada"",
    ""descripcion"": ""Ensalada fresca con lechuga, zuquini, pimentón y tomate.""
  },
  ""bebida"": {
    ""nombre"": ""Jugo de Lulo con Hierbabuena"",
    ""descripcion"": ""Refrescante y exótica combinación de lulo con un toque de hierbabuena.""
  }
}"
Coca Cola 400 ml,Coca Cola 400 ml,5500,,,,,,,,,,,Activo,,,84f16c49-618e-489c-900b-83eceb90006d,ENLATADOS,true,,,
Torta Red Velvet,Red velvet cake,12000,Deliciosa torta de red velvet con chispas de chocolate y crema de queso,Delicious red velvet cake with chocolate Chips and cream cheese frosting,Postres,Deserts,Dulce,Sweet,NA,Vegetarino,NA,NA,Inactivo,"https://drive.google.com/thumbnail?id=1AzDQkCLa53CPuZJb-kzOcYPPElTokI2H&sz=w1000-h1000
",,875b2807-33f0-4851-a5dd-e47c37e1541d,REPOSTERIA,,,,
Agua en Botella Sin Gas,Bottled Water No gas,3000,,,Bebidas,Drinks,Frío,Cold,,,,,Activo,,,89f999a0-c7e7-466e-bf9a-da0a3d1ec15d,BEBIDAS,,,,
Bowl de yogurt & frutos rojos,Greek yogurt bowl & red fruits,20000,"Yogurt griego artesanal servido con frutos rojos macerados, semillas de chía y frutas de temporada","Artisanal greek yogurt served with macerated red berries, chia seeds, and seasonal fruits",Desayuno,Breackfast,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,,,8aa48cf4-8384-470d-b91a-05793a8f4071,DESAYUNO,true,,,
Pastel Borinqueso,,7000,,,,,,,,,,,Activo,,10f57fd8-6125-4747-a25d-15691ea22526,8d72a7a9-6d01-439f-8027-f56febb13834,PANADERIA,,,,
Torta de Almojábana,Almojabana Cake,14000,"Amasijo de almojábana de queso y guayaba, servida con crema de queso","Amalgam of cheese and guava almojábana, served with cream cheese",Postres,Deserts,Dulce,Sweet,Vegetarino,Vegeterian,NA,NA,Activo,https://drive.google.com/thumbnail?id=15-Aa4OJnf_l63JSIbBem4LZmitEqHiog&sz=w1000-h1000,,8debd1ac-54e4-4e63-93aa-73821cd01254,REPOSTERIA,true,,,
Galletas,Cookies,6000,Chocolate / Avena / RedVelvet,Chocolate / Oatmeal / RedVelvet,Postres,Deserts,,,,,,,Activo,https://drive.google.com/thumbnail?id=13bozO9EXdWgndtpKKBYv5mIbhe5qUDO2&sz=w1000-h1000,,8f3a5514-a3ca-4c96-8636-497e4b306ee6,REPOSTERIA,true,PANADERIA_REPOSTERIA_DULCE,,
Pancakes chocolate,Chocolate pancakes,20000,"Esponjosos pancakes rellenos de chocolate, con nueces, salsa de mantequilla y sirope.","Fluffy pancakes filled with chocolate, with walnuts, butter sauce, and syrup",Desayuno,Breackfast,Dulce,Sweet,Vegetarino,Vegeterian,Nueces,Walnuts,Activo,https://drive.google.com/thumbnail?id=14JcfQaY0mijvv75z0wFpQNlS-S_el8bM&sz=w1000-h1000,ac3af2b5-e415-4578-9571-e0bcbc5e3f79,9352bc9a-7628-4e33-be57-cf9c3c9f540d,DESAYUNO,true,DESAYUNO_DULCE,,
Frappé,"Frappe ",12000,"Bebida con hielo a partir de café Sabores clásico, vainilla, chocolate y caramelo","Iced coffee beverage Classic, vanilla, chocolate, and caramel flavors",Café,Coffee,Frío,Cold,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=13gCh9NzFCS6z4jwMNEhqI1w3ngyTn_lu&sz=w1000-h1000,b999774e-473d-460a-992b-db7f0b674d6a,99611378-cd50-44a1-8dbf-580af18e50ef,BEBIDAS,true,,,
Brioche 90g,Brioche 90g,4000,,,,,,,,,,,Activo,,,9a27b4eb-6e5c-4539-94ba-e57777b9f1e0,PANADERIA,true,PANADERIA_REPOSTERIA_SALADA,,
Adicion Tocino,Add Bacon,7000,,,Adición,Sides,,,,,,,Activo,,,9b302b35-ece6-4e94-af7c-ac31b90b06c8,ADICIONES,true,ADICIONES_COMIDAS,,
Sánduche pepperoni,Pepperoni sandwich,20000,"Peperoni, Queso, Chipottle, Tomate Confí y Cebolla  Caramelizada, acompañado de nachos","Pepperoni, cheese, chipotle, confited tomato, and  caramelized onion, served with nachos",Sanduches,Sandwitch,Salado,Salty,Carnico,Meat,Picante,Spice,Inactivo,https://drive.google.com/thumbnail?id=14jt0hinWH04q6Tl_RvcTXnWhRU1QDfrW&sz=w1000-h1000,,9da4f94f-5860-4b3d-9f0a-68f61bf8c73c,TARDEO,false,,,
Adicion de Huevos,Add Eggs,7000,,,Adición,Sides,,,,,,,Activo,,cc177900-8686-476e-af5b-127e23809e37,a1609a23-8005-4740-ab63-d5ce623fc082,ADICIONES,true,ADICIONES_COMIDAS,,
Aromáticas,"Herbal teas ",3000,"Hierbabuena, cidrón, frutos rojos, verdes y tropicales, jengibre-naranja y cúrcuma, y calma y equilibrio","Peppermint, lemon verbena, red berries, green fruits, tropical fruits, ginger-orange-turmeric, and calm-balance",Bebidas,Drinks,Caliente,Hot,NA,NA,NA,NA,Activo,https://drive.google.com/thumbnail?id=179lMvFYu7Bx9lrwXzE_YzWlUP5IE9rf4&sz=w1000-h1000,751ce050-0832-4408-ba99-8b2af4ddd35c,a205c246-c8a3-4702-8329-59fb7318b79f,BEBIDAS,true,BEBIDAS_CALIENTES,,
